target_id,target_index,case,edge_index,edge_mask_value
103213,4,1,37,0.5849
103213,4,1,38,0.5194
103213,4,1,39,0.6356
103213,4,1,40,0.3795
103213,4,1,41,0.425
103213,4,1,42,0.4474
103213,4,1,43,0.7642
103213,4,1,44,0.6404
103213,4,1,45,0.684
103213,4,1,46,0.4835
103213,4,1,47,0.1791
103213,4,1,48,0.3904
103213,4,1,49,0.3165
122911,12,1,0,0.4347
122911,12,1,1,0.4371
122911,12,1,2,0.3626
122911,12,1,3,0.7003
122911,12,1,4,0.6018
122911,12,1,5,0.4037
122911,12,1,6,0.4291
122911,12,1,7,0.3922
122911,12,1,8,0.4932
122911,12,1,9,0.7636
122911,12,1,10,0.4319
122911,12,1,11,0.3708
122911,12,1,12,0.6624
122911,12,1,13,0.4597
122911,12,1,14,0.6243
122911,12,1,15,0.642
122911,12,1,16,0.6924
122911,12,1,17,0.336
122911,12,1,18,0.4339
122911,12,1,19,0.6728
122911,12,1,20,0.3584
122911,12,1,21,0.4672
122911,12,1,22,0.3076
122911,12,1,23,0.4184
122911,12,1,24,0.2412
122911,12,1,25,0.3782
122911,12,1,26,0.484
122911,12,1,27,0.7222
122911,12,1,28,0.3942
122911,12,1,29,0.2906
122911,12,1,30,0.444
122911,12,1,31,0.3365
122911,12,1,32,0.6395
122911,12,1,33,0.3134
122911,12,1,34,0.4455
122911,12,1,35,0.4996
122911,12,1,36,0.6527
122911,12,1,37,0.4498
122911,12,1,38,0.4971
122911,12,1,39,0.3487
122911,12,1,40,0.3945
122911,12,1,41,0.4868
122911,12,1,42,0.3695
122911,12,1,43,0.3844
122911,12,1,44,0.3388
122911,12,1,45,0.3991
122911,12,1,46,0.4856
122911,12,1,47,0.5104
122911,12,1,48,0.4845
122911,12,1,49,0.4025
122911,12,1,50,0.4312
122911,12,1,51,0.4812
122911,12,1,52,0.6803
122911,12,1,53,0.3781
122911,12,1,54,0.3535
122911,12,1,55,0.4412
122911,12,1,56,0.3061
122911,12,1,57,0.401
122911,12,1,58,0.33
122911,12,1,59,0.4886
122911,12,1,60,0.6376
122911,12,1,61,0.3761
122911,12,1,62,0.6388
122911,12,1,63,0.6167
122911,12,1,64,0.3277
122911,12,1,65,0.6808
122911,12,1,66,0.3413
122911,12,1,67,0.4895
122911,12,1,68,0.725
122911,12,1,69,0.2896
122911,12,1,70,0.4748
122911,12,1,71,0.4628
122911,12,1,72,0.3175
122911,12,1,73,0.4761
122911,12,1,74,0.7507
122911,12,1,75,0.7144
122911,12,1,76,0.3677
122911,12,1,77,0.5055
122911,12,1,78,0.4255
122911,12,1,79,0.4897
122911,12,1,80,0.3258
122911,12,1,81,0.3591
149975,1,1,0,0.3717
149975,1,1,1,0.6277
149975,1,1,2,0.3561
149975,1,1,3,0.6317
149975,1,1,4,0.3724
149975,1,1,5,0.7836
149975,1,1,6,0.485
149975,1,1,7,0.4718
149975,1,1,8,0.4145
149975,1,1,9,0.2456
149975,1,1,10,0.7143
149975,1,1,11,0.3364
149975,1,1,12,0.3829
149975,1,1,13,0.6554
149975,1,1,14,0.6354
149975,1,1,15,0.3461
149975,1,1,16,0.3685
149975,1,1,17,0.4249
149975,1,1,18,0.4842
149975,1,1,19,0.5903
149975,1,1,20,0.355
149975,1,1,21,0.6415
149975,1,1,22,0.4446
149975,1,1,23,0.6235
149975,1,1,24,0.7489
149975,1,1,25,0.651
